redcap_number,alpha_3_code
13,ABW
1,AFG
7,AGO
8,AIA
2,ALA
3,ALB
6,AND
234,ARE
11,ARG
12,ARM
5,ASM
9,ATA
79,ATF
10,ATG
14,AUS
15,AUT
16,AZE
37,BDI
22,BEL
24,BEN
28,BES
36,BFA
19,BGD
35,BGR
18,BHR
17,BHS
29,BIH
185,BLM
21,BLR
23,BLZ
25,BMU
27,BOL
32,BRA
20,BRB
34,BRN
26,BTN
31,BVT
30,BWA
43,CAF
40,CAN
48,CCK
216,CHE
45,CHL
46,CHN
55,CIV
39,CMR
52,COD
51,COG
53,COK
49,COL
50,COM
41,CPV
54,CRI
57,CUB
58,CUW
47,CXR
42,CYM
59,CYP
60,CZE
83,DEU
62,DJI
63,DMA
61,DNK
64,DOM
4,DZA
65,ECU
66,EGY
69,ERI
246,ESH
209,ESP
70,EST
71,ETH
75,FIN
74,FJI
72,FLK
76,FRA
73,FRO
145,FSM
80,GAB
235,GBR
82,GEO
92,GGY
84,GHA
85,GIB
93,GIN
89,GLP
81,GMB
94,GNB
68,GNQ
86,GRC
88,GRD
87,GRL
91,GTM
77,GUF
90,GUM
95,GUY
100,HKG
97,HMD
99,HND
56,HRV
96,HTI
101,HUN
104,IDN
108,IMN
103,IND
33,IOT
107,IRL
105,IRN
106,IRQ
102,ISL
109,ISR
110,ITA
111,JAM
113,JEY
114,JOR
112,JPN
115,KAZ
116,KEN
121,KGZ
38,KHM
117,KIR
187,KNA
119,KOR
120,KWT
122,LAO
124,LBN
126,LBR
127,LBY
188,LCA
128,LIE
210,LKA
125,LSO
129,LTU
130,LUX
123,LVA
131,MAC
189,MAF
151,MAR
147,MCO
146,MDA
133,MDG
136,MDV
144,MEX
139,MHL
132,MKD
137,MLI
138,MLT
153,MMR
149,MNE
148,MNG
165,MNP
152,MOZ
141,MRT
150,MSR
140,MTQ
142,MUS
134,MWI
135,MYS
143,MYT
154,NAM
158,NCL
161,NER
164,NFK
162,NGA
160,NIC
163,NIU
157,NLD
166,NOR
156,NPL
155,NRU
159,NZL
167,OMN
168,PAK
171,PAN
176,PCN
174,PER
175,PHL
169,PLW
172,PNG
177,POL
179,PRI
118,PRK
178,PRT
173,PRY
170,PSE
78,PYF
180,QAT
181,REU
182,ROU
183,RUS
184,RWA
195,SAU
211,SDN
196,SEN
200,SGP
207,SGS
186,SHN
213,SJM
204,SLB
199,SLE
67,SLV
193,SMR
205,SOM
190,SPM
197,SRB
208,SSD
194,STP
212,SUR
202,SVK
203,SVN
215,SWE
214,SWZ
201,SXM
198,SYC
217,SYR
230,TCA
44,TCD
223,TGO
221,THA
219,TJK
224,TKL
229,TKM
222,TLS
225,TON
226,TTO
227,TUN
228,TUR
231,TUV
218,TWN
220,TZA
232,UGA
233,UKR
237,UMI
238,URY
236,USA
239,UZB
98,VAT
191,VCT
241,VEN
243,VGB
244,VIR
242,VNM
240,VUT
245,WLF
192,WSM
247,YEM
206,ZAF
248,ZMB
249,ZWE
,
250,
251,
